00, 1
000, 11
0leave, 1
1, 679
10, 28
100, 4
10077, 1
101, 2
10188, 1
10192, 1
102, 3
10231, 1
103, 2
104, 2
10422, 1
10431, 1
10441, 1
10460, 1
105, 2
1052, 1
1054, 1
10546, 1
10560, 1
10561, 1
106, 2
10621, 1
10658, 1
10659, 1
107, 2
108, 3
10813, 1
10832, 1
10833, 1
109, 2
11, 35
110, 3
11020, 1
11021, 1
11022, 1
11023, 1
11024, 1
111, 2
112, 2
11262, 1
113, 2
11344, 1
11398, 1
114, 2
115, 2
116, 2
1161, 1
117, 2
118, 2
119, 3
11th, 2
12, 32
120, 2
121, 2
122, 2
123, 2
1236, 1
124, 2
125, 3
126, 2
1260, 1
127, 2
128, 4
129, 3
13, 39
130, 2
131, 2
132, 6
133, 2
134, 2
135, 2
136, 3
137, 2
138, 2
139, 2
14, 29
140, 2
141, 2
142, 2
143, 2
144, 3
1443, 1
1444, 1
145, 3
146, 2
147, 2
148, 2
149, 2
14th, 2
15, 27
150, 4
151, 2
152, 2
153, 2
154, 2
155, 2
156, 2
157, 2
158, 2
159, 2
15th, 4
16, 39
160, 2
161, 2
162, 2
163, 2
164, 2
165, 2
166, 2
167, 2
168, 3
169, 2
16th, 1
17, 252
170, 2
171, 2
172, 2
173, 2
174, 2
175, 2
176, 2
177, 2
178, 2
179, 2
17th, 1
18, 48
180, 2
181, 2
182, 3
183, 2
184, 2
185, 2
1853, 1
1856, 1
1857, 1
1859, 1
186, 2
1861, 1
1863, 1
1869, 1
187, 2
1871, 1
1877, 1
188, 2
1880, 2
1884, 1
1885, 1
1887, 1
1888, 2
1889, 1
189, 2
1891, 1
1892, 1
1897, 1
18th, 1
19, 22
190, 2
1902, 2
1905, 1
1906, 1
1907, 1
1908, 5
1909, 4
191, 3
1911, 1
1916, 1
1917, 5
1918, 3
1919, 12
192, 2
1920, 6
1921, 1
1924, 3
1925, 1
1927, 3
1928, 2
193, 2
1930, 1
1931, 5
1932, 2
1933, 1
1934, 2
1935, 2
1936, 1
1937, 3
1938, 2
1939, 4
194, 2
1940, 2
1941, 2
1942, 6
1943, 1
1944, 18
1945, 1
1946, 30
1947, 1113
19472, 2
1948, 7
195, 2
1950, 1
1951, 2
1952, 2
1953, 1
1956, 1
1957, 1
1958, 1
196, 2
1960, 1
1963, 2
1966, 1
1968, 2
197, 2
1971, 1
1974, 1
1975, 1
198, 2
1981, 1
1982, 1
199, 2
1merit, 1
1st, 1
1vide, 1
2, 446
20, 49
200, 4
201, 2
202, 2
203, 2
204, 2
205, 2
206, 2
207, 2
208, 2
209, 2
20th, 6
21, 35
210, 2
211, 2
212, 2
213, 2
214, 2
215, 2
216, 2
217, 2
218, 3
219, 2
21st, 1
22, 33
220, 2
221, 2
222, 2
223, 2
224, 2
225, 2
226, 2
227, 2
228, 2
229, 2
22nd, 5
23, 39
230, 2
231, 3
232, 2
233, 2
234, 2
235, 2
236, 2
237, 2
238, 2
239, 3
23rd, 1
24, 50
240, 2
241, 3
242, 4
243, 2
244, 2
245, 2
246, 2
247, 2
248, 2
249, 2
24th, 4
25, 32
250, 3
2501, 1
2502, 1
2503, 1
2504, 1
2505, 1
251, 2
252, 2
253, 2
254, 3
255, 2
256, 2
257, 2
258, 2
259, 2
25th, 2
26, 32
260, 2
261, 2
262, 2
263, 2
264, 2
265, 2
266, 2
267, 2
268, 2
269, 2
26th, 3
27, 27
270, 2
271, 2
272, 2
